,from,to
0,Natural hydrogen,Pure-play helium
1,Natural hydrogen,Electrofuel
2,Natural hydrogen,Hydrogen economy
3,Natural hydrogen,:fr:Hydrogène jaune (French) Yellow hydrogen
4,Natural hydrogen,Hydrogen production
